DPC Practice Monthly Expenses Tracker
,,,,,
Instructions:,"Enter your actual or budgeted monthly expenses. Track actual vs budget to manage cash flow.",,,,
,,,,,
CATEGORY,ITEM,BUDGET,ACTUAL,VARIANCE,NOTES
,,,,,
FIXED EXPENSES,,,,,
,Rent/lease,$0,,=ACTUAL-BUDGET,
,EMR subscription,$0,,,
,Phone/internet,$0,,,
,Insurance (malpractice - monthly portion),$0,,,
,Insurance (liability - monthly portion),$0,,,
,Software subscriptions,$0,,,
,Professional memberships,$0,,,
,Loan payments,$0,,,
SUBTOTAL FIXED,=SUM of above,=SUM of above,=SUM of above,,
,,,,,
VARIABLE EXPENSES,,,,,
,Medical supplies,$0,,,
,Lab costs (if absorbing),$0,,,
,Office supplies,$0,,,
,Marketing,$0,,,
,Continuing education,$0,,,
,Utilities (if not included),$0,,,
,Cleaning,$0,,,
,Miscellaneous,$0,,,
SUBTOTAL VARIABLE,=SUM of above,=SUM of above,=SUM of above,,
,,,,,
PROFESSIONAL SERVICES,,,,,
,Accounting/bookkeeping,$0,,,
,Legal (ongoing),$0,,,
,IT support,$0,,,
,Consulting,$0,,,
SUBTOTAL PROFESSIONAL,=SUM of above,=SUM of above,=SUM of above,,
,,,,,
STAFF (IF APPLICABLE),,,,,
,Staff wages,$0,,,
,Payroll taxes,$0,,,
,Staff benefits,$0,,,
SUBTOTAL STAFF,=SUM of above,=SUM of above,=SUM of above,,
,,,,,
OWNER COMPENSATION,,,,,
,Owner salary/draw,$0,,,
,Owner health insurance,$0,,,
,Retirement contributions,$0,,,
,Owner payroll taxes (if applicable),$0,,,
SUBTOTAL OWNER,=SUM of above,=SUM of above,=SUM of above,,
,,,,,
TAXES AND RESERVES,,,,,
,Estimated tax payments,$0,,,
,Operating reserve contribution,$0,,,
SUBTOTAL TAXES/RESERVES,=SUM of above,=SUM of above,=SUM of above,,
,,,,,
===================,,,,,
TOTAL MONTHLY EXPENSES,=SUM of all subtotals,=SUM of all subtotals,=SUM of all subtotals,,
===================,,,,,
,,,,,
INCOME COMPARISON,,,,,
Total Monthly Membership Revenue,$0,,,,
Other Revenue,$0,,,,
TOTAL INCOME,$0,,,,
,,,,,
NET INCOME (Loss),=Total Income - Total Expenses,,,,
,,,,,
===================,,,,,
KEY METRICS,,,,,
Number of patients,0,,,,
Revenue per patient,=Total Revenue / Patients,,,,
Expense per patient,=Total Expenses / Patients,,,,
Break-even patients needed,=Total Fixed Expenses / Avg Membership Fee,,,,
,,,,,
NOTES:,,,,,
"1. Track monthly to understand cash flow patterns",,,,
2. Review variable expenses for cost-saving opportunities,,,,
3. Adjust budget quarterly based on actual experience,,,,
"4. Maintain 3-6 months operating expenses in reserve",,,,
